"mechanism_id","source_clause_id","mechanism_family","normalized_mechanism","negative_condition","jurisdiction_scope","orynth_mapping_status","correspondence_grade","notes"
"US-CM-000018","US-CONST-ATOM-000018","F1","During the stated vacancy and legislative-recess condition, a State Executive may make a temporary Senate appointment until the legislature next meets.","Temporary appointment authority does not exist under this clause absent the stated vacancy/recess conditions or beyond the stated temporary duration.","UNITED-STATES/SENATE/STATE-VACANCIES","UNASSESSED","UNASSESSED","Source contains editorial bracket marker; supersession_status=UNASSESSED."
"US-CM-000019","US-CONST-ATOM-000019","F3","Eligibility for service as a Senator is bounded by minimum age, citizenship duration, and State inhabitancy requirements.","A person failing any stated qualification is not constitutionally qualified under this clause.","UNITED-STATES/SENATE/MEMBER-QUALIFICATIONS","UNASSESSED","UNASSESSED","Age=30; citizenship duration=9 years; inhabitancy tied to represented State."
"US-CM-000020","US-CONST-ATOM-000020","F2","The Vice President serves as President of the Senate but lacks ordinary voting authority, with a vote permitted only when the Senate is equally divided.","The Vice President may not exercise an ordinary Senate vote absent the stated equal-division condition.","UNITED-STATES/SENATE/VICE-PRESIDENT","UNASSESSED","UNASSESSED","Role allocation plus explicit exception preserves authority separation."
"US-CM-000021","US-CONST-ATOM-000021","F1","The Senate is vested with authority to choose its other officers and a President pro tempore under the stated Vice-Presidential absence or succession conditions.","The President-pro-tempore selection condition is not established outside the stated circumstances.","UNITED-STATES/SENATE/INTERNAL-OFFICERS","UNASSESSED","UNASSESSED","Institution-specific internal appointment authority."
"US-CM-000022","US-CONST-ATOM-000022","F2","The power to try impeachments is allocated exclusively to the Senate.","Another constitutional actor may not substitute for the Senate in exercising the sole impeachment-trial power under this clause.","UNITED-STATES/SENATE/IMPEACHMENT","UNASSESSED","UNASSESSED","Exclusive authority allocation."
"US-CM-000023","US-CONST-ATOM-000023","F3","When the Senate sits for an impeachment trial, its members are procedurally bound to act under oath or affirmation.","The impeachment-trial procedure established by this clause does not omit the oath-or-affirmation requirement.","UNITED-STATES/SENATE/IMPEACHMENT-PROCEDURE","UNASSESSED","UNASSESSED","Condition=Senate sitting for impeachment purpose."
"US-CM-000024","US-CONST-ATOM-000024","F2","When the President is tried by the Senate, presiding authority is assigned to the Chief Justice.","Ordinary Senate presiding authority does not substitute for the Chief Justice under the stated presidential-impeachment condition.","UNITED-STATES/SENATE/PRESIDENTIAL-IMPEACHMENT","UNASSESSED","UNASSESSED","Conditional authority reassignment."
"US-CM-000025","US-CONST-ATOM-000025","F4","Impeachment conviction requires concurrence of two thirds of the Senate members present.","Impeachment conviction is not established below the stated two-thirds concurrence threshold.","UNITED-STATES/SENATE/IMPEACHMENT-CONVICTION","UNASSESSED","UNASSESSED","Explicit multiparty threshold."
"US-CM-000026","US-CONST-ATOM-000026","F5","The effect of an impeachment judgment is negatively bounded to removal from office and disqualification from covered federal office.","An impeachment judgment may not extend beyond the effects permitted by this clause.","UNITED-STATES/IMPEACHMENT/JUDGMENT-EFFECT","UNASSESSED","UNASSESSED","Explicit constitutional effect limit."
"US-CM-000027","US-CONST-ATOM-000027","F2","Impeachment conviction does not replace or extinguish separate criminal indictment, trial, judgment, and punishment according to law.","Impeachment adjudication does not silently become or displace the distinct criminal-law authority class.","UNITED-STATES/IMPEACHMENT/CRIMINAL-PROCESS-SEPARATION","UNASSESSED","UNASSESSED","Primary family AUTHORITY-SEPARATION."
"US-CM-000028","US-CONST-ATOM-000028","F6","State legislatures hold the initial authority to prescribe the times, places, and manner of congressional elections within their respective States.","A State legislature's authority under this clause is not established outside its constitutionally applicable election-regulation domain.","UNITED-STATES/STATES/CONGRESSIONAL-ELECTIONS","UNASSESSED","UNASSESSED","Jurisdictional allocation to State legislatures."
"US-CM-000029","US-CONST-ATOM-000029","F6","Congress may by law make or alter State congressional-election regulations, subject to the source's stated exception concerning places of choosing Senators.","Congressional alteration authority does not extend through this clause to the stated excluded subject.","UNITED-STATES/FEDERAL-CONGRESS/CONGRESSIONAL-ELECTIONS","UNASSESSED","UNASSESSED","Federal jurisdiction overlays State regulation but remains expressly bounded."
"US-CM-000030","US-CONST-ATOM-000030","F3","Congress is temporally required to assemble at least once each year, with the source establishing a default meeting day subject to lawful alteration.","Congressional assembly frequency may not fall below the constitutional minimum established by this clause.","UNITED-STATES/CONGRESS/ASSEMBLY","UNASSESSED","UNASSESSED","Source contains editorial bracket marker; supersession_status=UNASSESSED."
"US-CM-000031","US-CONST-ATOM-000031","F6","Each House has exclusive institutional jurisdiction to judge the elections, returns, and qualifications of its own members.","One House does not obtain jurisdiction under this clause to judge membership matters belonging to the other House.","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBERSHIP","UNASSESSED","UNASSESSED","Own-membership jurisdiction."
"US-CM-000032","US-CONST-ATOM-000032","F4","A majority of each House constitutes the quorum required to conduct business.","Ordinary House or Senate business is not constitutionally established through a quorum below the stated majority threshold.","UNITED-STATES/CONGRESS/EACH-HOUSE/QUORUM","UNASSESSED","UNASSESSED","Explicit participation threshold."
"US-CM-000033","US-CONST-ATOM-000033","F3","A number smaller than a quorum is granted the limited authority to adjourn from day to day.","The smaller-number authority established here does not itself confer the full business authority requiring a quorum.","UNITED-STATES/CONGRESS/EACH-HOUSE/NO-QUORUM","UNASSESSED","UNASSESSED","Scoped exception to ordinary quorum-dependent business."
"US-CM-000034","US-CONST-ATOM-000034","F3","A smaller number may compel attendance of absent members only under authority and in the manner and penalties provided by the respective House.","Compulsory attendance authority is not established outside the House-defined authorization, manner, and penalty conditions.","UNITED-STATES/CONGRESS/EACH-HOUSE/ATTENDANCE","UNASSESSED","UNASSESSED","Conditioned internal enforcement authority."
"US-CM-000035","US-CONST-ATOM-000035","F3","Each House is granted authority to determine the rules governing its own proceedings.","One House does not obtain rulemaking authority over the proceedings of the other through this clause.","UNITED-STATES/CONGRESS/EACH-HOUSE/PROCEEDINGS","UNASSESSED","UNASSESSED","Institution-bounded procedural authority."
"US-CM-000036","US-CONST-ATOM-000036","F3","Each House is granted authority to punish its own members for disorderly behavior.","The disciplinary authority established by this clause is bounded to the House's own members and the stated disciplinary subject.","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBER-DISCIPLINE","UNASSESSED","UNASSESSED","Institution- and subject-bounded disciplinary power."
"US-CM-000037","US-CONST-ATOM-000037","F4","Expulsion of a member by either House requires concurrence of two thirds.","A member is not constitutionally expelled under this clause without the stated two-thirds concurrence.","UNITED-STATES/CONGRESS/EACH-HOUSE/MEMBER-EXPULSION","UNASSESSED","UNASSESSED","Explicit multiparty concurrence threshold."
"US-CM-000038","US-CONST-ATOM-000038","F3","Each House is required to keep a Journal of its proceedings.","The institutional recordkeeping duty established by this clause is not satisfied by omitting the Journal.","UNITED-STATES/CONGRESS/EACH-HOUSE/JOURNAL","UNASSESSED","UNASSESSED","Procedural recordkeeping requirement."
"US-CM-000039","US-CONST-ATOM-000039","F3","Each House must publish its Journal from time to time, subject to an exception for portions it judges to require secrecy.","Nonpublication outside the source's secrecy exception is not established by this clause.","UNITED-STATES/CONGRESS/EACH-HOUSE/JOURNAL-PUBLICATION","UNASSESSED","UNASSESSED","Publication duty with institutionally judged secrecy exception."
"US-CM-000040","US-CONST-ATOM-000040","F4","At the request of one fifth of members present, the yeas and nays on a question must be entered on the Journal.","The mandatory journal-entry effect is not triggered below the stated one-fifth request threshold.","UNITED-STATES/CONGRESS/EACH-HOUSE/RECORDED-VOTE","UNASSESSED","UNASSESSED","Explicit minority-trigger threshold."
"US-CM-000041","US-CONST-ATOM-000041","F4","During a session of Congress, either House requires consent of the other to adjourn for more than three days or to another place.","Unilateral adjournment beyond the stated duration or to another place is not authorized under this clause.","UNITED-STATES/CONGRESS/INTERHOUSE-ADJOURNMENT","UNASSESSED","UNASSESSED","Independent-house concurrence requirement."
"US-CM-000042","US-CONST-ATOM-000042","F3","Senators and Representatives are entitled to compensation for their services, with the amount ascertained by law and payment from the United States Treasury.","Compensation under this clause is not established outside lawful ascertainment and the stated payment source.","UNITED-STATES/CONGRESS/MEMBER-COMPENSATION","UNASSESSED","UNASSESSED","Compensation structure bounded by law and Treasury payment."
"US-CM-000043","US-CONST-ATOM-000043","F5","Members of Congress are protected from arrest during the stated legislative attendance and travel periods, except for Treason, Felony, and Breach of the Peace.","Arrest authority is constitutionally constrained during the protected period except for the expressly identified classes.","UNITED-STATES/CONGRESS/MEMBER-ARREST-PRIVILEGE","UNASSESSED","UNASSESSED","Explicit negative constraint with enumerated exceptions."
"US-CM-000044","US-CONST-ATOM-000044","F5","Members may not be questioned in another place for Speech or Debate in either House.","External questioning based on covered legislative Speech or Debate is prohibited by this source clause.","UNITED-STATES/CONGRESS/SPEECH-DEBATE","UNASSESSED","UNASSESSED","Explicit negative constraint on external questioning."
"US-CM-000045","US-CONST-ATOM-000045","F5","During the term for which elected, a Senator or Representative may not be appointed to a federal civil office created or increased in emoluments during that term.","Appointment is prohibited when the stated office-creation or emolument-increase condition occurs within the member's elected term.","UNITED-STATES/FEDERAL/OFFICE-APPOINTMENT/CONGRESSIONAL-INELIGIBILITY","UNASSESSED","UNASSESSED","Temporal appointment prohibition."
"US-CM-000046","US-CONST-ATOM-000046","F5","A person holding an office under the United States may not simultaneously serve as a member of either House while continuing in that office.","Simultaneous covered federal officeholding and congressional membership is prohibited.","UNITED-STATES/FEDERAL/OFFICE-INCOMPATIBILITY","UNASSESSED","UNASSESSED","Explicit incompatibility constraint."
"US-CM-000047","US-CONST-ATOM-000047","F2","Authority to originate bills for raising revenue is allocated to the House of Representatives.","The source clause does not allocate origination of revenue bills to the Senate.","UNITED-STATES/CONGRESS/REVENUE-BILL-ORIGINATION","UNASSESSED","UNASSESSED","Distinct chamber authority allocation."
"US-CM-000048","US-CONST-ATOM-000048","F3","The Senate may propose or concur with amendments to revenue bills as it may with other bills.","The Senate authority established here concerns amendment proposal or concurrence and does not replace the House origination requirement.","UNITED-STATES/SENATE/REVENUE-BILL-AMENDMENTS","UNASSESSED","UNASSESSED","Scoped Senate participation following House origination."
"US-CM-000049","US-CONST-ATOM-000049","F4","A bill passed by both Houses must be presented to the President before it can become law.","Passage by both Houses alone does not complete the constitutional lawmaking path established by this clause.","UNITED-STATES/FEDERAL/LEGISLATION/PRESENTMENT","UNASSESSED","UNASSESSED","Sequential multiparty lawmaking requirement."
"US-CM-000050","US-CONST-ATOM-000050","F3","When the President approves a presented bill, the President signs it.","Presidential signature under this clause is conditioned on presidential approval.","UNITED-STATES/PRESIDENT/LEGISLATION-APPROVAL","UNASSESSED","UNASSESSED","Conditional executive approval procedure."
"US-CM-000051","US-CONST-ATOM-000051","F3","When the President does not approve a presented bill, the President must return it with objections to the House in which it originated.","Presidential disapproval under this clause does not authorize withholding the bill from the originating House outside the separate ten-day rule.","UNITED-STATES/PRESIDENT/LEGISLATION-DISAPPROVAL","UNASSESSED","UNASSESSED","Veto-return procedure."
"US-CM-000052","US-CONST-ATOM-000052","F3","The originating House must enter the President's objections at large on its Journal.","The reconsideration path established by this source does not omit recording the objections in the originating House's Journal.","UNITED-STATES/CONGRESS/ORIGINATING-HOUSE/VETO-RECORD","UNASSESSED","UNASSESSED","Procedural evidence requirement."
"US-CM-000053","US-CONST-ATOM-000053","F3","After receiving and recording presidential objections, the originating House proceeds to reconsider the bill.","The veto-response procedure established by this clause does not terminate at receipt of the objections.","UNITED-STATES/CONGRESS/ORIGINATING-HOUSE/VETO-RECONSIDERATION","UNASSESSED","UNASSESSED","Reconsideration procedure."
"US-CM-000054","US-CONST-ATOM-000054","F4","After reconsideration, two-thirds agreement in the originating House is required to pass the bill and transmit it with the objections to the other House for reconsideration.","Transmission into the second reconsideration stage is not established below the two-thirds originating-House threshold.","UNITED-STATES/CONGRESS/VETO-OVERRIDE/FIRST-HOUSE","UNASSESSED","UNASSESSED","First two-thirds concurrence stage."
"US-CM-000055","US-CONST-ATOM-000055","F4","Following reconsideration by the other House, approval by two thirds of that House causes the bill to become law.","A vetoed bill does not become law through the override path without the stated two-thirds approval in the second House.","UNITED-STATES/CONGRESS/VETO-OVERRIDE/SECOND-HOUSE","UNASSESSED","UNASSESSED","Second two-thirds concurrence stage."
"US-CM-000056","US-CONST-ATOM-000056","F3","Votes of both Houses in the veto-reconsideration process must be determined by yeas and nays.","The source procedure does not authorize an unrecorded vote form for the identified reconsideration votes.","UNITED-STATES/CONGRESS/VETO-OVERRIDE/VOTE-METHOD","UNASSESSED","UNASSESSED","Mandatory procedural vote form."
"US-CM-000057","US-CONST-ATOM-000057","F3","The names of persons voting for and against a reconsidered bill must be entered on the Journal of each House.","The identified override voting record is incomplete under this clause if voter names are omitted.","UNITED-STATES/CONGRESS/VETO-OVERRIDE/JOURNAL","UNASSESSED","UNASSESSED","Mandatory recorded-voter provenance."
"US-CM-000058","US-CONST-ATOM-000058","F3","A presented bill not returned by the President within ten days, excluding Sundays, becomes law as if signed unless congressional adjournment prevents its return, in which case it does not become law.","Automatic enactment does not occur before the stated period or when the stated adjournment exception prevents return.","UNITED-STATES/FEDERAL/LEGISLATION/TEN-DAY-RULE","UNASSESSED","UNASSESSED","Temporal effect rule with explicit adjournment exception."
"US-CM-000059","US-CONST-ATOM-000059","F4","Orders, resolutions, and votes requiring concurrence of both Houses, except questions of adjournment, must be presented to the President.","Bicameral concurrence alone does not complete the identified action where presidential presentment is required; adjournment is expressly excepted.","UNITED-STATES/FEDERAL/BICAMERAL-ACTIONS/PRESENTMENT","UNASSESSED","UNASSESSED","Multiparty presentment requirement with explicit exception."
"US-CM-000060","US-CONST-ATOM-000060","F4","Before a covered order, resolution, or vote takes effect, it requires presidential approval or, after presidential disapproval, repassage by two thirds of both Houses under the rules and limitations applicable to a bill.","A covered action does not take effect without either presidential approval or the stated two-thirds bicameral repassage.","UNITED-STATES/FEDERAL/BICAMERAL-ACTIONS/EFFECT","UNASSESSED","UNASSESSED","Alternative multiparty authorization paths."
"US-CM-000061","US-CONST-ATOM-000061","F3","Congress is granted power to lay and collect taxes, duties, imposts, and excises for payment of debts and provision for the common defence and general welfare of the United States.","The taxing authority established by this clause remains bounded to the granted fiscal subjects and stated federal purposes.","UNITED-STATES/CONGRESS/TAXATION","UNASSESSED","UNASSESSED","Enumerated fiscal power."
"US-CM-000062","US-CONST-ATOM-000062","F5","Duties, imposts, and excises imposed under congressional taxing authority must be uniform throughout the United States.","Nonuniform duties, imposts, or excises are prohibited by this source constraint.","UNITED-STATES/CONGRESS/TAXATION/UNIFORMITY","UNASSESSED","UNASSESSED","Explicit negative constraint on exercise of taxing power."
"US-CM-000063","US-CONST-ATOM-000063","F3","Congress is granted power to borrow money on the credit of the United States.","The clause does not establish borrowing authority outside the credit of the United States.","UNITED-STATES/CONGRESS/BORROWING","UNASSESSED","UNASSESSED","Enumerated fiscal power."
"US-CM-000064","US-CONST-ATOM-000064","F6","Congressional commerce-regulation authority applies to commerce with foreign nations, among the several States, and with the Indian Tribes.","The commerce authority established by this source is jurisdictionally identified by the stated domains.","UNITED-STATES/CONGRESS/COMMERCE/FOREIGN-INTERSTATE-TRIBAL","UNASSESSED","UNASSESSED","Primary family JURISDICTION because the source expressly identifies applicable domains."
"US-CM-000065","US-CONST-ATOM-000065","F3","Congress is granted power to establish a uniform rule of naturalization.","Naturalization authority under this clause is bounded to establishment of the stated uniform rule.","UNITED-STATES/CONGRESS/NATURALIZATION","UNASSESSED","UNASSESSED","Enumerated power with uniformity condition."
"US-CM-000066","US-CONST-ATOM-000066","F3","Congress is granted power to establish uniform bankruptcy laws throughout the United States.","Bankruptcy legislation under this clause is not established as nonuniform across the United States.","UNITED-STATES/CONGRESS/BANKRUPTCY","UNASSESSED","UNASSESSED","Enumerated power with nationwide uniformity condition."
"US-CM-000067","US-CONST-ATOM-000067","F3","Congress is granted power to coin money.","The source establishes the monetary power only within the identified coining function.","UNITED-STATES/CONGRESS/COINAGE","UNASSESSED","UNASSESSED","Enumerated monetary power."
"US-CM-000068","US-CONST-ATOM-000068","F3","Congress is granted power to regulate the value of United States coin and foreign coin.","The value-regulation authority established here is bounded to the identified monetary subjects.","UNITED-STATES/CONGRESS/COIN-VALUE","UNASSESSED","UNASSESSED","Enumerated monetary regulation power."
"US-CM-000069","US-CONST-ATOM-000069","F3","Congress is granted power to fix the standard of weights and measures.","The authority established here is bounded to setting the identified standards.","UNITED-STATES/CONGRESS/WEIGHTS-MEASURES","UNASSESSED","UNASSESSED","Enumerated standard-setting power."
"US-CM-000070","US-CONST-ATOM-000070","F3","Congress is granted power to provide punishment for counterfeiting securities and current coin of the United States.","The punishment authority established here is bounded to the identified counterfeiting subject.","UNITED-STATES/CONGRESS/COUNTERFEITING","UNASSESSED","UNASSESSED","Enumerated enforcement power."
"US-CM-000071","US-CONST-ATOM-000071","F3","Congress is granted power to establish post offices and post roads.","The authority established here is bounded to the identified postal institutions and roads.","UNITED-STATES/CONGRESS/POSTAL","UNASSESSED","UNASSESSED","Enumerated infrastructure power."
"US-CM-000072","US-CONST-ATOM-000072","F3","Congress may promote the progress of science and useful arts by securing exclusive rights to authors and inventors for limited times over their respective writings and discoveries.","Exclusive rights under this clause are not established beyond the identified beneficiaries, subject matter, purpose, or limited temporal duration.","UNITED-STATES/CONGRESS/INTELLECTUAL-PROPERTY","UNASSESSED","UNASSESSED","Enumerated power with explicit method, subject, beneficiary, and temporal limits."
